Film,Žanr,Ilmumisaasta,Reiting,Duration (min)
The Shawshank Redemption,Draama / Kriminaal,1994,93.00%,142
The Godfather,Kriminaal / Draama,1972,92.00%,175
The Godfather Part II,Kriminaal / Draama,1974,90.00%,202
The Godfather Part III,Kriminaal / Draama,1990,76.00%,162
Parasite,Must komöödia / Draama / Thriller,2019,97.00%,132
The Great Beauty (La grande bellezza),Draama / Komöödia,2013,91.00%,142
Interstellar,Sci-fi / Seiklus / Draama,2014,87.00%,169
The Wolf of Wall Street,Komöödia / Kriminaal / Draama,2013,82.00%,180
Django Unchained,Vestern / Draama / Seiklus,2012,85.00%,165
The Intouchables,Draama / Komöödia,2011,85.00%,112
Gangs of Wasseypur,Kriminaal / Draama,2012,82.00%,161
Gone with the Wind,Ajalooline / Romantika / Draama,1939,82.00%,238
Once Upon a Time in America,Kriminaal / Draama,1984,83.00%,229
Killers of the Flower Moon,Draama / Kriminaal,2023,75.00%,206
Avatar: The Way of Water,Sci-fi / Seiklus / Fantaasia,2022,66.00%,192
About Dry Grasses,Draama,2023,82.00%,197
The Lord of the Rings: The Return of the King,Fantaasia / Seiklus / Draama,2003,91.00%,201
Avengers: Endgame,Superkangelane / Fantaasia / Seiklus,2019,75.00%,181
Lawrence of Arabia,Ajalooline / Seiklus / Biograafia,1962,76.00%,222
"Hamlet (1996 versioon, Kenneth Branagh)",Draama / Tragöödia,1996,86.00%,242
