Film,Žanr,Ilmumisaasta,Reiting,Duration (min)
The Shawshank Redemption,Draama / Kriminaal,1994,0.93,142
The Godfather,Kriminaal / Draama,1972,0.92,175
The Godfather Part II,Kriminaal / Draama,1974,0.90,202
The Godfather Part III,Kriminaal / Draama,1990,0.76,162
Parasite,Must komöödia / Draama / Thriller,2019,0.97,132
The Great Beauty (La grande bellezza),Draama / Komöödia,2013,0.91,142
Interstellar,Sci-fi / Seiklus / Draama,2014,0.87,169
The Wolf of Wall Street,Komöödia / Kriminaal / Draama,2013,0.82,180
Django Unchained,Vestern / Draama / Seiklus,2012,0.85,165
The Intouchables,Draama / Komöödia,2011,0.85,112
Gangs of Wasseypur,Kriminaal / Draama,2012,0.82,161
Gone with the Wind,Ajalooline / Romantika / Draama,1939,0.82,238
Once Upon a Time in America,Kriminaal / Draama,1984,0.83,229
Killers of the Flower Moon,Draama / Kriminaal,2023,0.75,206
Avatar: The Way of Water,Sci-fi / Seiklus / Fantaasia,2022,0.66,192
About Dry Grasses,Draama,2023,0.82,197
The Lord of the Rings: The Return of the King,Fantaasia / Seiklus / Draama,2003,0.91,201
Avengers: Endgame,Superkangelane / Fantaasia / Seiklus,2019,0.75,181
Lawrence of Arabia,Ajalooline / Seiklus / Biograafia,1962,0.76,222
"Hamlet (1996 versioon, Kenneth Branagh)",Draama / Tragöödia,1996,0.86,242
